Condition,Category,Vignette-Child (No Context),Correctness,Completeness,Conciseness & Clarity,Accuracy,Total (0-2),Total (0-3),Vignette-Adult (No Context),Correctness,Completeness,Conciseness & Clarity,Accuracy,Total (0-2),Total (0-3),Vignette-Child (Context),Correctness,Completeness,Conciseness & Clarity,Accuracy,Total (0-2),Total (0-3),Vignette-Adult (Context),Correctness,Completeness,Conciseness & Clarity,Accuracy,Total (0-2),Total (0-3),,
Congenital factor XIII deficiency,No change,"A 4-year-old boy presents to the emergency department after having a seizure. The parents mention that he has been experiencing easy bruising and bleeding gums for the past year. Physical examination reveals petechiae on his arms and legs, and his platelet count is low. The patient's medical history includes a previous diagnosis of congenital factor XIII deficiency.
The most important clinical features in this scenario are:
* Seizure
* Easy bruising
* Bleeding gums
* Petechiae on the arms and legs
* Low platelet count
* Previous diagnosis of congenital factor XIII deficiency.",0,1,0,0,1,1,"A 35-year-old male presents to the emergency department with sudden onset left knee pain and swelling after twisting his knee while playing soccer. He has a history of easy bruising and prolonged bleeding from cuts. Physical examination reveals a large ecchymosis over the left knee, and the patient is unable to bear weight on the affected leg. Family history is positive for a similar condition in his maternal grandfather.
The most important clinical features of this disorder are:
Easy bruising and prolonged bleeding from cuts (bleeding diathesis)
Joint pain and swelling (hemarthrosis)
Family history of a similar condition
Diagnostic tests to confirm the diagnosis include:
Factor XIII level measurement
Activated partial thromboplastin time (aPTT) test
DNA analysis for genetic mutations",0,1,0,0,1,1,"Patient: A 3-month-old baby boy presents to the emergency department with a large bruise on his forehead and multiple small bruises on his arms and legs. The parents report that the baby has been experiencing frequent nosebleeds and bleeding gums since birth. The baby was born via cesarean section due to fetal distress, and the umbilical cord was noted to be unusually large and bleeding excessively. The baby has been feeding poorly and has had several episodes of vomiting after feeding. Physical examination reveals petechiae on the hard palate and conjunctival hemorrhages. The patient is lethargic and has a low-grade fever. Laboratory tests show a prolonged activated partial thromboplastin time (aPTT) and low levels of factor XIII activity. Family history reveals that both parents have a history of bleeding disorders.",0,1,1,0,1,2,"A 35-year-old woman presents to the emergency department with a 2-day history of sudden onset left knee pain and swelling after falling from a standing height. She has a history of easy bruising and recurrent spontaneous abortions. Physical examination reveals a large ecchymosis over the left knee, and swelling is consistent with a bleeding effusion. The patient is otherwise healthy, with no signs of liver disease or inflammatory bowel disease. Family history is unremarkable. Laboratory studies show a normal complete blood count, platelet count, and coagulation studies, except for a low factor XIII level. The patient is diagnosed with acquired factor XIII deficiency likely related to an underlying autoimmune disorder.",1,1,1,1,2,3,,
Congenital factor II deficiency,No change,"A 10-year-old boy presents to the emergency department with a history of easy bruising and bleeding gums. He has had recurrent nosebleeds and has been experiencing joint pain and swelling for several months. On examination, he has petechiae on his arms and legs, and his joints are swollen and tender. Family history reveals that his mother had a similar condition.
Congenital factor II deficiency is a rare genetic disorder caused by mutations in the F2 gene, which codes for the vitamin K-dependent protein, factor II (prothrombin). The most important clinical features of this condition include:
Easy bruising and bleeding, including nosebleeds and gum bleeding
Joint pain and swelling due to hemarthrosis (bleeding into joints)
Petechiae (small red or purple spots on the skin)
Family history of a similar condition in a first-degree relative (such as a parent or sibling)
The patient's symptoms and family history suggest that he may have congenital factor II deficiency. Laboratory tests, such as a prothrombin time (PT) and partial thromboplastin time (PTT), can help confirm the diagnosis.",1,1,0,1,2,2,"A 35-year-old male presents to the emergency department with a history of easy bruising and prolonged bleeding after dental extraction. He reports a family history of similar symptoms in his mother and maternal grandfather. Physical examination reveals petechiae, purpura, and ecchymoses on his arms and legs. Laboratory tests show a low level of factor II activity. The patient is diagnosed with congenital factor II deficiency, also known as hereditary bleeding disorder.",1,1,1,1,2,3,"A 4-year-old boy presents to the emergency department with a history of recurrent epistaxis and easy bruising. He has had multiple episodes of nosebleeds over the past year, often lasting longer than 30 minutes despite applying pressure. The child also reports frequent bleeding gums and has had several large bruises on his arms and legs that have taken weeks to resolve. Physical examination reveals petechiae on his hard palate and conjunctival injection. Family history is negative for similar symptoms. Laboratory tests show a reduced level of factor II (prothrombin) activity, confirming the diagnosis of congenital FII deficiency. The child is referred to a hematologist for further management and monitoring.",1,1,1,1,2,3,"A 35-year-old male presents to the emergency department with sudden onset left knee swelling and pain after a minor fall while playing soccer. He has a history of easy bruising, frequent nosebleeds, and prolonged bleeding after dental procedures. Physical examination reveals a large ecchymosis over the left knee, swollen and tender to palpation with limited range of motion. There is no neurological deficit. Family history non contributory. The patient was previously diagnosed with Congenital Factor II Deficiency as a child after experiencing recurrent nosebleeds and menorrhagia. Most recent INR was 1.8. He takes no medications and denies recent travel or surgery.",0,1,1,0,1,2,,
Osteoporosis-pseudoglioma syndrome,No change,"A 10-year-old girl presents to the pediatrician's office with a 6-month history of worsening back pain, difficulty walking, and an increased risk of fractures. She has a family history of osteoporosis and pseudoglioma syndrome, a rare genetic disorder that affects the development of bones and eyes. On examination, she has a small stature, kyphosis, and bilateral femoral bowing. Her laboratory tests show low serum calcium levels, elevated parathyroid hormone levels, and abnormal urinary metabolites. Imaging studies reveal severe osteoporosis, multiple vertebral fractures, and optic nerve head drusen. The patient is diagnosed with Osteoporosis-pseudoglioma syndrome and started on appropriate management, including calcium and vitamin D supplements, physical therapy, and regular monitoring for bone health and vision problems.",0,1,1,0,1,2,"A 45-year-old woman presents to her primary care physician with a 6-month history of progressive low back pain, which has recently worsened. She also reports occasional right thigh and buttock pain. The patient has a history of smoking and heavy alcohol use. Physical examination reveals kyphosis, forward flexion of the thoracic spine, and tenderness to palpation over the lumbar spine. Imaging studies show severe osteoporosis with compression fractures at L1-L4 and a pathologic fracture in the right proximal femur. Laboratory tests reveal an elevated serum alkaline phosphatase level. The patient is diagnosed with osteoporosis-pseudoglioma syndrome (OPS).
The most important clinical features of this scenario are:
1. Progressive low back pain
2. History of smoking and heavy alcohol use
3. Kyphosis and forward flexion of the thoracic spine
4. Tenderness to palpation over the lumbar spine
5. Imaging studies showing severe osteoporosis with compression fractures at L1-L4 and a pathologic fracture in the right proximal femur",0,0,0,0,0,0,"Patient: 7 year old male, presents to the emergency department after falling from a low height and complaining of left arm pain. He has a history of multiple fractures since age 3, including long bones and vertebrae. His vision is poor and he has had several eye surgeries. He has difficulty seeing objects clearly and often trips over things. He also has trouble with reading and writing due to his poor vision. The patient's height is below the third percentile for his age, and he has a small head circumference. His bone mineral density (BMD) Z-score is -3.0. Family history is negative for similar symptoms.",1,1,1,1,2,3,"A 35 year old woman presents to the office with a history of recurrent fractures since childhood, including multiple long bone and vertebral fractures. She has had several spontaneous fractures without any significant trauma. She also reports eye pain and vision loss in one eye that worsened over time, leading to enucleation at age 15. On examination, she has short stature, microcephaly, ligamental laxity, and hypotonia. Imaging studies show evidence of osteoporosis and pseudogliomatous changes in the bones. Genetic testing confirms the diagnosis of Osteoporosis-pseudoglioma syndrome. The patient is referred to a multidisciplinary team for management of her condition, including endocrinology, orthopedics, ophthalmology, and physical therapy.",1,1,1,1,2,3,,
Naegeli-Franceschetti-Jadassohn syndrome,No change,"A 7-year-old boy presents to the pediatrician's office with his mother due to concerns about his skin and nail changes. The patient has had thickened, scaly skin on his palms and soles since birth, which has gradually worsened over time. He also has noticeable ridging and pitting of his fingernails and toenails. The patient's mother mentions that he has had recurrent respiratory infections and difficulty with wound healing. The patient is otherwise healthy and developmentally appropriate.On examination, the patient has a distinctive ""cobblestone"" appearance to his skin, with numerous small, rough papules and nodules. His nails are thickened, ridged, and pitted. There is no evidence of any active infections. The patient's vital signs are normal.",0,0,1,0,0,1,"A 35-year-old woman presents to the dermatology clinic with a lifelong history of skin thickening and pigmentation on her palms and soles. She has also noticed progressive joint contractures, particularly in her hands and feet. The patient has a family history of similar symptoms in her mother and maternal grandfather. Examination reveals thickened skin with a characteristic ""cobblestone"" appearance, as well as limited range of motion in her joints. Biopsy confirms the diagnosis of Naegeli-Franceschetti-Jadassohn syndrome, a rare genetic disorder affecting the skin and joints.",0,0,1,0,0,1,"A 4-year-old boy presents to the pediatrician's office with his mother, who is concerned about his lack of sweating and poor dental hygiene. The child has a history of not being able to tolerate heat well and often appears flushed after physical activity. On examination, the provider notes that the child's fingerprints are absent and there is reticular cutaneous hyperpigmentation on his cheeks and arms. His nails appear dystrophic and his teeth have noticeable enamel defects. The palms of his hands and soles of his feet have a thick, rough texture. When questioned about his dental hygiene, the mother reports that the child has always had difficulty brushing his teeth due to poor motor skills.",1,1,1,1,2,3,"A 35-year-old woman presents to the dermatology clinic with a lifelong history of skin problems. She has noticed that her skin is very dry and flaky, especially on her palms and soles. She also mentions that she has always had trouble sweating, even in hot weather or during exercise. On examination, the patient has characteristic reticular hyperpigmentation on her face, arms, and legs, as well as absent fingerprints. Her nails are thin and brittle, and her teeth show signs of enamel defects. The patient is uncomfortable in hot environments and reports that she often feels warm and flushed. Importantly, the patient's great toenails are misaligned and grow inward, causing discomfort and pain when walking.",1,1,1,1,2,3,,
Congenital muscular dystrophy with integrin alpha-7 deficiency,No change,"A 3-year-old boy, John, presents to the pediatrician's office with a history of delayed gross motor milestones and frequent falls. He was previously diagnosed with congenital muscular dystrophy (CMD) and has been followed by a multidisciplinary team. On examination, John has difficulty standing and walking independently, and his muscle tone is decreased. He also has developmental delays and cognitive impairment. Genetic testing reveals a deficiency in integrin alpha-7, a protein that plays a crucial role in maintaining muscle integrity. The most important clinical features in this scenario are the patient's history of delayed gross motor milestones, decreased muscle tone, developmental delays, cognitive impairment, and the genetic deficiency in integrin alpha-7.",1,1,0,1,2,2,"A 35-year-old man presents to the neurology clinic with progressive muscle weakness and wasting over the past year. He has a history of congenital muscular dystrophy (CMD) and has recently noticed difficulty walking, climbing stairs, and performing daily activities. On examination, he has marked muscle atrophy, particularly in the limbs, and demonstrates difficulty with ambulation and balance. Genetic testing reveals a deficiency in integrin alpha-7, a protein that plays a critical role in maintaining muscle integrity.
The most important clinical features of this patient's presentation include:

1. Progressive muscle weakness and wasting
2. Difficulty with ambulation and balance
3. Marked muscle atrophy, particularly in the limbs
4. History of congenital muscular dystrophy (CMD)
5. Deficiency in integrin alpha-7, a protein that plays a critical role in maintaining muscle integrity.",0,1,0,0,1,1,"A 3-year-old boy presents to the pediatrician's office with a history of delayed motor development and difficulty walking. He was previously diagnosed with congenital muscular dystrophy with integrin alpha-7 deficiency. On examination, he has weakness in his proximal muscles, including his shoulders, upper arms, and thighs. His serum creatine kinase level is mildly elevated. He also has scoliosis and respiratory insufficiency. The patient's developmental delay is significant, and he is unable to stand or walk independently. Despite this, he is in good spirits and has a cheerful demeanor. The most important clinical features of this case are the delayed motor development, muscle weakness, elevated serum creatine kinase level, scoliosis, respiratory insufficiency, and developmental delay.",1,1,0,1,2,2,"A 35-year-old woman presents to the clinic with a history of progressive muscle weakness and atrophy, motor development regression, scoliosis, and respiratory insufficiency since childhood. She has mild elevation of serum creatine kinase. Physical examination reveals proximal muscle weakness and atrophy, Gowers' sign, and scoliosis. Genetic testing reveals a mutation in the ITGA7 gene, confirming the diagnosis of congenital muscular dystrophy with integrin alpha-7 deficiency. The patient is referred for respiratory therapy, physical therapy, and orthopedic management to address her musculoskeletal deformities.",0,1,1,0,1,2,,
Hutchinson-Gilford progeria syndrome,Only childhood,"A 6-year-old boy presents to the pediatrician's office with his parents, who are concerned about his growth and development. The boy is very short and thin, with a prominent forehead, a small face, and a thin, fragile appearance. He has a high-pitched voice and a characteristic ""bent-over"" posture. His parents report that he has been losing hair and has had recurrent respiratory infections. The boy's physical examination reveals a height of 2 feet 3 inches (69 cm) and a weight of 17 kg (37 lbs). His head circumference is 50 cm (20 inches), and his arm length is 40 cm (16 inches). He has a prominent scalp vein and a thin, fragile skin with a characteristic ""scleroderma-like"" appearance. The boy's fingers are long and thin, with prominent joints. His respiratory examination reveals a harsh, high-pitched expiratory wheeze, and his chest x-ray shows a diffuse interstitial pattern. An echocardiogram shows a normal heart structure and function. Genetic testing confirms the diagnosis of Hutchinson-Gilford progeria syndrome.",0,1,1,0,1,2,"A 27-year-old man presents to the clinic with a chief complaint of progressive difficulty walking and loss of hair. He was diagnosed with Hutchinson-Gilford progeria syndrome at the age of 10, and since then, he has experienced rapid aging, including wrinkled skin, alopecia, and joint contractures. He also reports a history of cardiovascular disease, including myocardial infarction and stroke, as well as respiratory problems, such as chronic obstructive pulmonary disease (COPD). The patient is short-statured, with a height of 4 feet 5 inches, and has a distinctive appearance, including a small face, jaw, and nose, and prominent eyes. He is unable to walk independently and requires assistance with activities of daily living.",0,1,1,0,1,2,"A 4-year-old boy presents to the pediatrician's office with his parents, who are concerned about their son's short stature and thinning hair. The patient has a prominent forehead, protuberant eyes, thin nose with a beaked tip, thin lips, micrognathia and protruding ears. His skin appears aged, sclerotic and dimpled over his abdomen and extremities, with prominent cutaneous vasculature, dyspigmentation, nail hypoplasia and loss of subcutaneous fat. The patient's growth chart reveals a declining growth rate over the past year. The patient is otherwise healthy, with no history of illness or hospitalizations. Family history is unremarkable. Physical examination reveals a height of 80 cm (<3rd percentile), weight of 12 kg (<3rd percentile) and head circumference of 52 cm (<3rd percentile). The patient's vital signs are normal. Laboratory tests, including complete blood count, electrolytes, liver function tests and thyroid function tests, are within normal limits. Genetic testing reveals a de novo mutation in the LMNA gene, consistent with Hutchinson-Gilford progeria syndrome. The patient is referred to a specialist for further evaluation",0,1,1,0,1,2,"A 35-year-old woman presents to the clinic with a history of progressive skin changes, loss of hair and nail abnormalities. She also reports difficulty swallowing and frequent respiratory infections. On examination, she has a characteristic facial appearance with a prominent forehead, thin nose and protruding ears. Her skin appears aged and sclerotic with prominent cutaneous vasculature. She also has micrognathia and a small jaw. The patient's height is 130 cm, and her weight is 45 kg. The patient is diagnosed with Hutchinson-Gilford progeria syndrome based on clinical features and genetic testing.",0,0,1,0,0,1,,
Mucopolysaccharidosis type 7,No change,"A 4-year-old boy, named Jack, presents to the clinic with short stature and stiff joints. He has difficulty walking due to pain in his knees and ankles. His physical examination reveals coarse facial features, including a flat nasal bridge, a prominent forehead, and widely spaced eyes. He also has a large head, short neck, and a protruding abdomen. Jack's developmental history is significant for delayed milestones, including sitting, standing, and walking. His speech is also delayed, and he has difficulty articulating words. The patient's medical history reveals that he was diagnosed with Mucopolysaccharidosis type 7 (MPS VII) shortly after birth, and he has been receiving weekly enzyme replacement therapy since then. Despite this treatment, Jack continues to experience progressive joint stiffness and pain, which limits his mobility and affects his quality of life.

The most important clinical features in this scenario are:

* Short stature
* Stiff joints
* Coarse facial features (e.g., flat nasal bridge, prominent forehead, widely spaced eyes)
* Large head, short neck, and protruding abdomen
* Delayed developmental milestones (sitting, standing, walking)",1,1,0,1,2,2,"A 36-year-old male presents to the clinic with short stature, corneal clouding, and joint stiffness. He was diagnosed with Mucopolysaccharidosis type 7 (MPS VII) as a child and has been receiving enzyme replacement therapy (ERT) for several years. Despite this treatment, he has developed progressive joint damage and reduced mobility in his hands and feet. His corneal clouding has also worsened over time, causing vision problems. The patient is concerned about the progression of his disease and wants to explore other treatment options.

Important clinical features:

* Short stature
* Corneal clouding
* Joint stiffness and damage
* Reduced mobility in hands and feet
* History of MPS VII diagnosis and ERT treatment
* Progressive disease despite ERT
* Vision problems due to corneal clouding",0,1,0,0,1,1,"Patient: John Smith, Age: 4\n\nChief Complaint: Difficulty walking and shortness of breath\n\nHistory of Present Illness: John is a 4-year-old boy who has been experiencing progressive difficulty walking and shortness of breath over the past year. He was previously able to run and play without any issues, but now struggles to keep up with his peers. His parents have also noticed that he has been using his hands to push himself up when standing from a seated position, which they report is a new development. John has also been experiencing frequent respiratory infections, which have been treated with antibiotics. He has not had any surgeries or hospitalizations in the past. \n\nPast Medical History: John was born at 37 weeks gestation via cesarean section due to fetal distress. His birth weight was 2.8 kg (5.9 lbs). He had a history of neonatal jaundice and was admitted to the NICU for phototherapy. There is no family history of similar symptoms or medical conditions. \n\nSocial History: John lives with his parents and two older siblings. His father works as an engineer, and his mother is a homemaker.",1,1,1,1,2,3,"Patient: John, a 35-year-old male
Chief Complaint: Difficulty walking due to increasing lower back pain and stiffness over the past year.
History of Present Illness: John has been experiencing gradually worsening lower back pain and stiffness for the past year, which has made it difficult for him to walk and perform daily activities. He has also noticed some shortness of breath and fatigue. John has a history of mild intellectual disability and has been followed by a developmental pediatrician since childhood.
Past Medical History: Mucopolysaccharidosis type 7 (MPS VII) was diagnosed in childhood, and he has been receiving enzyme replacement therapy (ERT) every week since age 5. He has also had several surgical interventions for joint contractures and spinal deformities.
Family History: John's older sister also has MPS VII and has similar symptoms. Their parents are carriers.
Social History: John lives with his parents and works part-time in a sheltered workshop. He enjoys playing video games and watching movies.
Review of Systems: Musculoskeletal: John has a history of joint contractures and spinal deformities, which have been managed with surgery and physical therapy. He currently experiences lower back pain",0,1,1,0,1,2,,
Proximal spinal muscular atrophy,Change: presentation/management,"A 2-year-old boy, John, presents to the pediatrician's office with a 6-month history of progressive weakness and loss of motor skills. He was previously able to sit up and walk independently, but now requires assistance with both activities. John also experiences frequent falls and has difficulty swallowing, leading to frequent pneumonias. On examination, John has a weak cry, poor muscle tone, and diminished reflexes. His parents report that he has lost weight and has had difficulty eating due to weakness of the muscles used for chewing and swallowing.
The most important clinical features in this scenario are:
* Progressive weakness and loss of motor skills
* Difficulty swallowing and frequent pneumonias
* Weak cry and poor muscle tone
* Diminished reflexes
* Loss of weight and difficulty eating.",1,1,0,1,2,2,"A 35-year-old man presents to the neurology clinic with progressive weakness and wasting of muscles in his arms and legs over the past year. He has a history of falls and difficulty walking, and has recently noticed difficulty swallowing and breathing. He has no family history of similar symptoms. Examination reveals marked muscle atrophy, particularly in the proximal muscles of the limbs, and a positive Babinski sign. Genetic testing confirms the diagnosis of proximal spinal muscular atrophy (PSMA).
The most important clinical features for this patient with PSMA include:
* Progressive weakness and wasting of muscles in the arms and legs
* Difficulty walking, swallowing, and breathing
* Marked muscle atrophy, particularly in the proximal muscles of the limbs
* Positive Babinski sign
* Confirmation of diagnosis by genetic testing.",1,1,0,1,2,2,"A 10-month-old boy is brought to the emergency room because of sudden weakness and inability to walk. The parents report that he was previously healthy, but yesterday he woke up with a weak cry and was unable to sit or stand. He has been irritable and vomiting after feeds. On examination, the child is lethargic, with pale and cool peripheral extremities. There is no neck stiffness or meningism. Muscle tone is decreased, and reflexes are absent in the lower limbs. Deep tendon reflexes are normal. Babinski's sign is positive.",0,1,1,0,1,2,"A 35-year-old woman presents to her primary care physician with a two-year history of progressive weakness in her legs and feet, which has made it difficult for her to walk or stand for long periods. She also reports frequent constipation and gastroesophageal reflux. On physical examination, she has muscle wasting and weakness in her lower limbs, with a positive Gowers' sign (inability to rise from a squatting position without using her hands). Her reflexes are absent, and there is no sensory loss. The patient's medical history includes a previous diagnosis of proximal spinal muscular atrophy type 4 (SMA4), which was confirmed by genetic testing. The most important clinical features in this case are the progressive muscle weakness, muscle wasting, and positive Gowers' sign, which are all consistent with SMA4. Additionally, the patient's history of constipation and gastroesophageal reflux may indicate the need for further management and supportive care.",1,1,1,1,2,3,,
Brugada syndrome,No change,"A 10-year-old boy is brought to the emergency department after suddenly collapsing during soccer practice. He was unresponsive for a few seconds but quickly regained consciousness. He has no history of seizures or previous episodes. Physical examination shows a normal heart rate and blood pressure, but his electrocardiogram (ECG) reveals coved-type ST segment elevation in leads V1 to V3, consistent with Brugada syndrome.
The most important clinical features for this patient are:
* Sudden collapse during physical activity
* Previous episodes of sudden death in the family
* Abnormal ECG findings (coved-type ST segment elevation)
* No history of seizures or other neurological symptoms.",1,1,0,1,2,2,"A 35-year-old man is brought to the emergency department after suddenly collapsing at work. He has a history of syncope and has been diagnosed with epilepsy, but he has never had a seizure. His electrocardiogram (ECG) shows coved-type ST segment elevation in leads V1 to V3, and his echocardiogram reveals a normal left ventricular function and no evidence of thrombus or vegetation. Genetic testing reveals a mutation in the SCN5A gene, which codes for the cardiac sodium channel alpha subunit. The patient is diagnosed with Brugada syndrome.
The most important clinical features of this case are:
1. Sudden collapse
2. History of syncope
3. Abnormal ECG showing coved-type ST segment elevation in leads V1 to V3
4. Normal left ventricular function on echocardiogram
5. Positive genetic test for SCN5A mutation
6. Diagnosis of Brugada syndrome",0,1,0,0,1,1,"A 6-year-old boy presents to the emergency room after experiencing a sudden loss of consciousness while playing at school. The child had been previously healthy, and there is no family history of cardiac disease. On examination, the patient is alert and stable, with normal vital signs. Cardiac auscultation reveals a regular rhythm without any murmurs or extra sounds. An ECG shows a coved-type ST segment elevation in leads V1-V3, consistent with Brugada syndrome. The child is immediately referred to a pediatric cardiologist for further evaluation and management.",1,1,1,1,2,3,"Patient: A 35-year-old male who presents to the emergency department after experiencing a sudden episode of syncope while at rest. He has no history of previous cardiac problems and is otherwise healthy. On physical examination, his blood pressure is normal, but he appears pale and diaphoretic. An ECG reveals a Type 1 Brugada pattern with ST segment elevation in leads V1-V3. The patient is immediately referred to a cardiologist for further evaluation and management.",1,1,1,1,2,3,,
Classic congenital adrenal hyperplasia due to 21- hydroxylase deficiency,No change,"Patient: John, a 6-year-old boy
Chief Complaint: My son has been feeling tired and weak all the time, and his teacher said he's been having trouble paying attention in class.
History of Present Illness: John was born at term without any notable prenatal or perinatal complications. His parents are non-consanguineous and healthy. He has been well until 6 months ago, when his parents noticed that he was more fatigued than usual and had difficulty paying attention in school. Over the past month, John has also had several episodes of vomiting after eating, with no evidence of gastrointestinal bleeding or infection. There is no history of seizures, loss of consciousness, or developmental delays.
Past Medical History: None
Family History: No consanguinity; both parents are healthy.
Social History: John lives with his biological parents and two younger siblings. He attends public school and has an uneventful preschool history. There is no exposure to toxins, and the family eats a balanced diet.
Review of Systems: No fever, chills, night sweats, or recent weight loss. No changes in appetite, sleep patterns, or respiratory symptoms.",0,0,0,0,0,0,"A 35-year-old woman presents to her primary care physician with a 2-month history of fatigue, weakness, and difficulty concentrating. She also reports a recent weight loss of 10 pounds. The patient has no significant medical history. Physical examination reveals a pale appearance, but is otherwise unremarkable. Laboratory tests show a hemoglobin level of 8 g/dL, MCV of 70 fl, and a serum ferritin level of 12 ng/mL.",0,0,1,0,0,1,"A 4-day-old female newborn is brought to the emergency room by her parents because of poor feeding, lethargy and dehydration. Physical examination shows a large clitoris, fused labia, and a prominent pseudoscrotum containing a small, undescended testis. The child appears to have a mixture of both male and female genitalia. She is also noted to have a significant amount of hair on her face, arms, and back. The child is admitted for management of dehydration and electrolyte imbalance. Further laboratory studies reveal elevated 17-hydroxyprogesterone levels and low cortisol levels. Genetic testing confirms the diagnosis of classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency. The child is started on glucocorticoid replacement therapy, and her genitalia are surgically corrected at a later age.",0,1,1,0,1,2,"A 35-year-old woman presents to her primary care physician with concerns of irregular menstrual cycles, hirsutism, and acne. She reports that she has had a history of accelerated growth velocity since childhood and has been diagnosed with premature puberty. She also mentions that she has had recurrent episodes of dehydration and hypoglycemia in the past. Physical examination reveals a tall, obese woman with a hirsute appearance, acne on her face and chest, and irregular menstrual cycles. Laboratory tests show elevated levels of 17-hydroxyprogesterone and low levels of aldosterone. The patient is diagnosed with classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency, and treatment with glucocorticoids and mineralocorticoids is initiated. The most important clinical features in this case are accelerated growth velocity, premature puberty, hirsutism, acne, dehydration, hypoglycemia, and elevated levels of 17-hydroxyprogesterone.",1,1,1,1,2,3,,
Familial thyroid dyshormonogenesis,Only childhood,"A 7-year-old girl presents to the pediatrician's office with her mother, who is concerned about her daughter's growth rate. The girl has been growing at a steady rate, but her mother noticed that her hair has been thinning and she has been feeling tired more easily lately. On examination, the patient's vital signs are normal, but her thyroid gland is enlarged and firm to the touch. Laboratory tests reveal elevated levels of T4 and T3, and a diagnosis of familial thyroid dyshormonogenesis is made.",0,0,1,0,0,1,"A 35-year-old woman presents to her primary care physician with a complaint of fatigue, weight gain, and cold intolerance over the past year. She also reports hair loss and dry skin. On examination, she has a slightly enlarged thyroid gland with a firm consistency. Her TSH level is 10 mIU/L, free T4 is 0.8 ng/dL, and free T3 is 25 ng/dL. Genetic testing reveals a mutation in the TPO gene consistent with Familial thyroid dyshormonogenesis.",0,0,1,0,0,1,"A 6-month-old girl is brought to the pediatrician's office by her parents due to concerns about her slowed growth and development. She was born at term, and her birth weight was appropriate for gestational age, but she has not been gaining weight as expected. On examination, her head circumference is measuring below the 10th percentile, and she has a prominent tongue and a hoarse cry. The girl also has dry skin and a decreased muscle tone. Her parents mention that they have noticed some swelling in her neck recently. The patient's thyroid function test shows decreased levels of T4 and T3, and an ultrasound of the thyroid gland reveals a nodular goiter. Genetic testing confirms the diagnosis of familial thyroid dyshormonogenesis.",1,1,1,1,2,3,"A 35-year-old woman presents to her primary care physician with a several year history of fatigue, weight gain, dry skin, and constipation. She also reports having had a goiter since childhood. On examination, she has a large firm thyroid gland with nodules. Laboratory tests show a T4 level of 20 ng/dL (normal range 50-120 ng/dL) and a TSH level of 10 mU/mL (normal range 0.3-5.0 mU/mL). She is diagnosed with familial thyroid dyshormonogenesis and started on levothyroxine replacement therapy. Over the next several months, her symptoms improve and her goiter decreases in size.",0,1,1,0,1,2,,
Hereditary neuropathy with liability to pressure palsies,No change,"A 10-year-old boy presents with a 2-day history of worsening weakness and numbness in his right leg, which has now spread to his left leg. He denies any recent illness or injury but mentions that he has been feeling increasingly tired over the past month. On examination, there is decreased muscle tone and strength in both legs, more pronounced on the right side. There are no areas of sensory loss or weakness in the arms. The patient's reflexes are normal, but his gait is unsteady. Family history reveals that his mother has a similar condition.
Important clinical features:
1. Gradual onset of bilateral lower extremity weakness and numbness
2. No obvious cause (e.g., injury or infection)
3. Progression over days to weeks
4. Presence of fatigue
5. Positive family history of similar condition
6. Normal reflexes
7. Unsteady gait
8. No sensory loss or weakness in the arms.",0,1,0,0,1,1,"A 35-year-old man presents with recurrent episodes of numbness and weakness in his hands and feet that started when he was a teenager. He has a family history of similar symptoms in his father and grandfather. Physical examination reveals decreased sensation to light touch and pinprick in the hands and feet, and mild muscle weakness. His reflexes are diminished, and there is no evidence of atrophy or fasciculations. He has a normal EMG and nerve conduction studies. Genetic testing reveals a mutation in the PMP22 gene, consistent with hereditary neuropathy with liability to pressure palsies (HNPP).
The most important clinical features of this case are:
* Recurrent episodes of numbness and weakness in the hands and feet
* Family history of similar symptoms
* Decreased sensation to light touch and pinprick in the hands and feet
* Mild muscle weakness
* Normal EMG and nerve conduction studies
* Genetic testing revealing a mutation in the PMP22 gene.",1,1,0,1,2,2,"A 10-year-old boy presents to the emergency department with sudden onset of weakness and numbness in his right hand and foot. He had been playing soccer earlier that day and noticed the symptoms after a fall onto his right side. The patient has a history of similar episodes in the past, which have resolved on their own within a few days. Physical examination reveals weakness in the right hand and foot, with diminished reflexes and sensation in the affected areas. The patient's medical history is significant for Hereditary Neuropathy with Liability to Pressure Palsies (HNPP), a rare genetic disorder that affects the nerves and causes recurrent mononeuropathies. The patient's father has a similar condition, and the family history suggests an autosomal dominant inheritance pattern. The patient is admitted for observation and management of his symptoms, and genetic testing is recommended to confirm the diagnosis.",1,1,1,1,2,3,"Patient: 35-year-old male presents with sudden onset of foot drop and numbness in his right leg, which started after a strenuous game of soccer. He also reports feeling fatigued and experiencing diffuse pain all over his body. On examination, he has weakness in his right peroneal muscles and decreased sensation on the lateral aspect of his right hand. His deep tendon reflexes are absent. Family history reveals that his mother and maternal grandfather had similar symptoms at a young age.",1,1,1,1,2,3,,
