Condition,Category,Vignette-Child (No Context),Correctness,Completeness,Conciseness & Clarity,Accuracy,Total (0-2),Total (0-3),Vignette-Adult (No Context),Correctness,Completeness,Conciseness & Clarity,Accuracy,Total (0-2),Total (0-3)
Hidrotic ectodermal dysplasia,No change,"A 5-year-old male presents to the pediatrician with a history of frequent skin infections and abnormal sweating patterns. On examination, he has sparse, fine hair on his scalp, eyebrows, and eyelashes. His skin appears dry and scaly, especially on the palms and soles, and he has small bumps on his face. His teeth are small and pointed, and his nails are thin and brittle. The child's family history reveals that his father and grandfather also have a similar condition. Based on these clinical features, a diagnosis of Hidrotic ectodermal dysplasia is suspected. Further evaluation with genetic testing confirms the diagnosis. The child is counseled on the need for regular skin and dental care, and the importance of early intervention to prevent complications such as hearing loss, vision problems, and respiratory infections.",0,1,1,0,1,2,"John is a 32-year-old male who presents to the clinic with a history of recurrent skin infections and dental problems since childhood. He also complains of excessive sweating and heat intolerance. On examination, he has sparse hair on his scalp, eyebrows, and eyelashes, and his skin appears thin and dry. He has hypodontia, with only a few teeth present, and those that are present are malformed. His nails are thin and brittle, and he has a reduced sense of taste and smell. Based on these findings, a diagnosis of Hidrotic ectodermal dysplasia is suspected.",0,1,1,0,1,2
Carnitine palmitoyltransferase II deficiency,Change: presentation/management,"A 6-year-old boy presents to the emergency department with weakness and muscle pain after a 30-minute bike ride. He has a history of recurrent episodes of muscle pain, cramping, and weakness during prolonged exercise or fasting. On examination, he is found to have muscle weakness and tenderness, with elevated levels of creatine kinase. The patient's family history is notable for a sister who had similar symptoms and was diagnosed with Carnitine palmitoyltransferase II deficiency. A blood test confirms the diagnosis, and the patient is started on a low-fat, high-carbohydrate diet. The patient is also advised to avoid fasting and prolonged exercise to prevent future episodes.",1,1,1,1,2,3,"A 32-year-old male presents to the emergency department complaining of muscle pain and weakness after a strenuous workout. He reports a history of recurrent episodes of muscle pain and weakness during exercise, which usually resolve within a few hours. However, this episode has been ongoing for the past 24 hours and he has noticed dark urine. On examination, he has diffuse muscle tenderness and weakness, with elevated creatine kinase levels. The patient's medical history is significant for episodes of rhabdomyolysis and a family history of unexplained muscle pain and weakness. Further investigations reveal a Carnitine palmitoyltransferase II deficiency.",1,1,1,1,2,3
Currarino syndrome,No change,"A 4-year-old child was brought to the clinic with complaints of constipation and recurrent urinary tract infections. The child had a history of anorectal malformation and underwent surgical repair at birth. On physical examination, the child had a sacral dimple and a small anal opening. Imaging studies revealed a presacral mass and tethered cord syndrome. The child was diagnosed with Currarino syndrome, a rare genetic disorder characterized by the triad of sacral anomalies, anorectal malformation, and presacral mass. The child was referred to a pediatric surgeon for further evaluation and management.",1,1,1,1,2,3,"Mrs. Smith, a 42-year-old woman, presented to the clinic with a history of chronic constipation, recurrent urinary tract infections, and lower back pain. She reported difficulty with bowel movements since childhood and had undergone several surgeries for anal stenosis and rectal prolapse. On examination, she had a sacral dimple, and an MRI revealed a presacral mass consistent with a teratoma. Genetic testing confirmed a diagnosis of Currarino syndrome. She was referred to a surgeon for resection of the teratoma and a colorectal specialist for management of her chronic constipation.",1,1,1,1,2,3
Canavan disease,Only childhood,"A 6-month-old male infant is brought to the pediatrician by his parents with concerns about developmental delays. The child has not yet achieved head control and does not respond to loud noises. Upon examination, the pediatrician notes hypotonia, poor head control, and absent deep tendon reflexes. The child also has macrocephaly with a head circumference greater than the 99th percentile. MRI shows diffuse white matter abnormalities consistent with Canavan disease. Genetic testing confirms the diagnosis. The parents are counseled on the progressive nature of the disease and the poor prognosis, with most children dying before the age of 10.",0,1,1,0,1,2,"Mr. Smith is a 30-year-old male who presented to the neurology clinic with developmental delay and a progressive decline in cognitive and motor function. He was diagnosed with Canavan disease based on genetic testing, which revealed a homozygous mutation in the aspartoacylase gene. On examination, he had hypotonia, spasticity, and hyperreflexia in all four limbs. He also had optic atrophy and nystagmus. His speech was severely impaired, and he was unable to communicate effectively. Brain MRI showed diffuse white matter abnormalities with increased T2 signal and decreased N-acetylaspartate (NAA) levels. Overall, the clinical presentation of Mr. Smith is consistent with Canavan disease, an autosomal recessive leukodystrophy characterized by severe neurologic impairment and progressive degeneration of white matter in the brain.",0,1,1,0,1,2
Familial chylomicronemia syndrome,No change,"A 7-year-old girl presents to the clinic with complaints of abdominal pain and vomiting after meals. She has a family history of hyperlipidemia and her parents report that she has had recurrent episodes of abdominal pain and pancreatitis since the age of 2. Physical examination reveals eruptive xanthomas on the trunk and limbs and hepatosplenomegaly. Laboratory investigations show marked elevations in triglycerides, cholesterol, and lipoprotein lipase activity. Genetic testing confirms the diagnosis of Familial chylomicronemia syndrome. The child is started on a strict low-fat diet and lipid-lowering medication.",1,1,1,1,2,3,"John is a 35-year-old male who presents to the clinic with complaints of recurrent abdominal pain, nausea, and vomiting. He has a family history of lipid disorders, and his father died of a heart attack at the age of 45. On physical examination, he is obese with a BMI of 34 kg/m2 and has tenderness in the epigastric region. His laboratory workup shows elevated triglycerides of 2,500 mg/dL and a low-density lipoprotein (LDL) level of 120 mg/dL. Genetic testing confirms the diagnosis of Familial chylomicronemia syndrome. He is started on a low-fat diet, omega-3 fatty acid supplements, and fibrates to manage his lipid levels. Follow-up visits show gradual improvement in his symptoms and lipid levels.",1,0,1,0,1,2
Autosomal erythropoietic protoporphyria,No change,"A 6-year-old boy presents with a history of recurrent painful episodes on sun exposure. He reports that his skin becomes red, swollen, and itchy within minutes of being in the sun. The symptoms improve with cooling measures and avoidance of sunlight. On examination, the child has a rash on the exposed areas of his skin and shows evidence of sunburn. There are no signs of blistering or scarring. Laboratory investigations reveal elevated levels of protoporphyrin in the blood and stool. Genetic testing confirms the diagnosis of Autosomal erythropoietic protoporphyria. The child is advised to avoid direct sunlight and to use sunscreen, hats, and protective clothing when outdoors. He is also prescribed beta-carotene supplements and phototherapy to reduce the symptoms and prevent complications.",0,1,1,0,1,2,"A 35-year-old male presents to the dermatology clinic with a chief complaint of severe burning pain and redness on sun-exposed areas of his skin. He reports a history of recurrent episodes of painful photosensitivity since childhood, which has worsened over the years. He avoids sunlight as much as possible and wears protective clothing when outside. Physical examination reveals erythema, edema, and bullae on the dorsal hands and feet, ears, and nose, consistent with photosensitivity. Laboratory workup shows elevated levels of protoporphyrin in the blood and feces. A diagnosis of Autosomal erythropoietic protoporphyria is made, and the patient is advised to avoid sunlight exposure and use broad-spectrum sunscreens. He is referred to a specialist for further management.",1,1,1,1,2,3
Tyrosinemia type 1,Change: presentation/management,"A 4-month-old male infant presents with vomiting, poor feeding, and jaundice. Physical examination reveals hepatomegaly, splenomegaly, and a distinctive cabbage-like odor. Laboratory tests show elevated serum tyrosine and methionine levels, as well as elevated urine succinylacetone levels. The infant is diagnosed with Tyrosinemia type 1 and started on a low-phenylalanine and tyrosine diet, as well as Nitisinone therapy. Repeat labs and clinical follow-up show improvement in liver function and growth.",1,1,1,1,2,3,"A 28-year-old man presents to the emergency department with complaints of severe abdominal pain, vomiting, and yellow discoloration of the skin and eyes. He reports having had similar episodes in the past that have resolved on their own. On further questioning, he reveals a history of developmental delay, intellectual disability, and a low-protein diet. Physical examination reveals hepatomegaly and splenomegaly. Further workup reveals elevated levels of tyrosine and its metabolites in the blood and urine, confirming a diagnosis of Tyrosinemia type 1. Treatment is initiated with nitisinone, a medication that blocks the production of toxic metabolites, and a low-protein diet is recommended to prevent further episodes. The patient is referred to a metabolic specialist for long-term management of his condition.",1,1,1,1,2,3
Crouzon syndrome,No change,"Maria is a 4-year-old girl who was referred to a geneticist for evaluation due to facial abnormalities. Her parents reported that she was born with a small head and a flat midface. Upon examination, the geneticist noted that Maria had a prominent forehead, sunken eye sockets, and a beaked nose. She also had a small upper jaw and crowded teeth. Further evaluation revealed that Maria had hearing loss due to narrow ear canals and a small airway causing sleep apnea. She was diagnosed with Crouzon syndrome, a genetic disorder that affects the development of the skull and face. Maria will require a team of specialists including an ENT doctor for her hearing and breathing issues, an ophthalmologist for her vision, and a craniofacial surgeon for potential surgical interventions to improve her breathing and facial structure.",1,0,1,0,1,2,"Mrs. Smith is a 35-year-old woman with Crouzon syndrome, a rare genetic disorder characterized by premature fusion of the skull bones leading to craniofacial abnormalities. She presents with severe headaches, visual disturbances, and difficulty with chewing and swallowing. On examination, she has a high forehead, shallow eye sockets, and protruding eyes (exophthalmos), leading to compression of the optic nerves and subsequent vision loss. Her midface is underdeveloped, leading to a small nose and a crowded mouth with dental malocclusion. She also has a cleft palate, which contributes to her difficulty with chewing and swallowing. These features of Crouzon syndrome can lead to a variety of complications, including obstructive sleep apnea, hearing loss, and increased intracranial pressure. Mrs. Smith will need comprehensive management by a multidisciplinary team, including neurosurgery, ophthalmology, otolaryngology, and dentistry, to prevent or manage these complications and improve her quality of life.",0,1,1,0,1,2
Complete androgen insensitivity syndrome,Change: presentation/management,"A 10-year-old child presents to the clinic with concerns about their lack of menstruation. On examination, the child appears female and has a normal external genitalia. Further investigations reveal that the child has XY chromosomes and has a high testosterone level. The child's breasts have developed normally, and there is no palpable uterus or ovaries. A karyotype confirms the diagnosis of Complete androgen insensitivity syndrome. The child is referred to a specialist for further management and counseling regarding their gender identity.",1,1,1,1,2,3,"A 25-year-old individual presents to the clinic with primary amenorrhea and absence of breast development. The patient reports a history of undescended testes that were surgically removed during childhood. Physical examination reveals a tall stature, scant pubic and axillary hair, absence of a vaginal opening, and a small clitoral hood. Hormonal testing shows elevated testosterone and undetectable levels of estrogen. Genetic testing confirms a diagnosis of complete androgen insensitivity syndrome. The patient expresses concerns regarding infertility and gender identity. Counseling regarding fertility options and referral to a specialist in gender identity are initiated.",0,1,1,0,1,2
Alagille syndrome,Change: presentation/management,"Samantha is a 5-year-old girl who presents to the pediatric clinic with jaundice and severe itching. Her mother reports that Samantha has had recurrent episodes of diarrhea and abdominal pain for the past few months. Samantha is small for her age and has a characteristic facial appearance with a prominent forehead, deep-set eyes, and a pointed chin. On physical exam, Samantha has a systolic heart murmur and a liver palpable 4 cm below the costal margin. Lab work reveals elevated liver enzymes and a total serum bilirubin of 6 mg/dL. After further evaluation, Samantha is diagnosed with Alagille syndrome, a genetic disorder that affects multiple organ systems, including the liver, heart, and kidneys. The characteristic facial appearance, along with cholestasis (jaundice and severe itching), and cardiac abnormalities, are hallmarks of this condition. Samantha's recurrent episodes of diarrhea and abdominal pain are also common in Alagille syndrome due to malabsorption. The diagnosis is confirmed with genetic testing, which reveals mutations in the JAG1 gene. Samantha will require ongoing multidisciplinary care to manage her complex medical needs.",1,1,1,1,2,3,"Mr. X is a 30-year-old man who presented to the clinic with a history of jaundice, severe itching, and fatigue. He had a past medical history of Alagille syndrome, which was diagnosed in childhood. On examination, he had yellowish discoloration of the skin and sclera, and multiple small, irregularly shaped, and mildly elevated skin lesions on his upper and lower extremities. His liver was palpable and enlarged, and laboratory investigations revealed elevated liver enzymes and bilirubin levels. An abdominal ultrasound showed a small, shrunken liver with a paucity of intrahepatic bile ducts. A diagnosis of cholestatic liver disease due to Alagille syndrome was made, and he was started on ursodeoxycholic acid therapy. Follow-up appointments were scheduled for monitoring of his liver function and progression of his disease.",1,0,1,0,1,2
Congenital adrenal hyperplasia due to cytochrome P450 oxidoreductase deficiency,Change: presentation/management,"A 6-year-old girl presents to the pediatric endocrinology clinic with ambiguous genitalia and early signs of puberty, including pubic hair growth and breast development. The patient's parents report a history of infertility, with multiple failed attempts at conceiving before the patient's birth. The patient's laboratory results reveal elevated levels of 17-hydroxyprogesterone and androstenedione, confirming a diagnosis of Congenital adrenal hyperplasia due to cytochrome P450 oxidoreductase deficiency. The patient is started on glucocorticoid and mineralocorticoid replacement therapy to manage her symptoms and prevent adrenal crisis. The medical team emphasizes the importance of long-term follow-up to monitor the patient's growth, development, and hormone levels.",0,0,1,0,0,1,"A 32-year-old female presents with a history of hirsutism, acne, and menstrual irregularities. She reports a history of early pubic hair development at the age of 6 and clitoral enlargement during puberty. On examination, she is noted to have hyperpigmentation of the skin in a sun-exposed distribution. Laboratory tests reveal elevated levels of 17-hydroxyprogesterone and androstenedione, and low levels of cortisol. Genetic testing confirms a diagnosis of Congenital adrenal hyperplasia due to cytochrome P450 oxidoreductase deficiency. The patient is started on glucocorticoid replacement therapy and referred to an endocrinologist for further management.",0,1,1,0,1,2
Congenital adrenal hyperplasia due to 11-beta-hydroxylase deficiency,No change,"A 5-year-old child is brought to the clinic by their parents due to concerns about their growth and development. The child is small for their age and has not yet begun to develop pubic hair. The child's blood pressure is elevated at 140/90 mmHg, and the parents report that the child has been experiencing episodes of vomiting and diarrhea. Upon further examination, the child is found to have an enlarged clitoris and fused labia. Lab tests reveal elevated levels of 17-hydroxyprogesterone and low levels of cortisol. These findings are consistent with Congenital adrenal hyperplasia due to 11-beta-hydroxylase deficiency, a rare genetic disorder that affects the production of steroid hormones in the adrenal glands. The child is started on hormone replacement therapy and referred to an endocrinologist for further management.",0,1,1,0,1,2,"A 32-year-old female presents to the clinic with a history of irregular menstrual cycles, hirsutism, and acne. She reports difficulty conceiving and has been trying to conceive for the past year. Physical examination reveals a blood pressure of 150/90 mmHg, moderate hirsutism, and a masculine appearance. Laboratory investigations reveal elevated serum levels of 17-hydroxyprogesterone, testosterone, and dehydroepiandrosterone sulfate. A diagnosis of Congenital adrenal hyperplasia due to 11-beta-hydroxylase deficiency is made. The patient is started on glucocorticoid and mineralocorticoid replacement therapy, and her symptoms improve over time. Follow-up visits show a reduction in blood pressure and a regular menstrual cycle, and she conceives six months later.",1,1,1,1,2,3
Autosomal recessive malignant osteopetrosis,Only childhood,"A 2-year-old male child was brought to the hospital by his parents with complaints of frequent fractures and difficulty in walking. The child had a history of multiple fractures since birth and was unable to walk without support. On physical examination, the child had short stature, wide-set eyes, and a prominent forehead. His bones were thickened, and he had a barrel-shaped chest. The child's laboratory investigations showed anemia, thrombocytopenia, and elevated serum alkaline phosphatase levels. The child was diagnosed with Autosomal recessive malignant osteopetrosis, a rare genetic disorder characterized by defective bone resorption leading to thickened bones, frequent fractures, and growth retardation. The child was started on supportive care and bone marrow transplantation was planned as a definitive treatment.",1,1,1,1,2,3,"A 35-year-old male presents with a history of chronic bone pain and frequent fractures since childhood. He has a short stature, hearing loss, and visual impairment. On examination, he has hepatosplenomegaly and a broad forehead. Imaging studies reveal generalized osteosclerosis and a ""bone within bone"" appearance. A bone biopsy confirms the diagnosis of autosomal recessive malignant osteopetrosis. The patient is started on bisphosphonate therapy to prevent further fractures and referred for a bone marrow transplant.",0,1,1,0,1,2
GM1 gangliosidosis,Change in presentation related to age,"A 2-year-old male is brought to the clinic by his parents due to developmental delay and muscle weakness. The child has not yet achieved any significant developmental milestones such as sitting, crawling, or walking. On physical examination, the child appears lethargic and has poor muscle tone. The child also has hepatosplenomegaly and a cherry-red spot is noted in the macula of the eye. The parents report that the child's motor skills have been declining over the past few months. Further evaluation reveals abnormal results on brain imaging consistent with GM1 gangliosidosis. Genetic testing confirms the diagnosis.",1,1,1,1,2,3,"A 32-year-old male presents with a history of progressive neurological symptoms for the past few years. The patient reports difficulty with gait and balance, frequent falls, and slurred speech. He also complains of muscle weakness, tremors, and difficulty swallowing. On examination, the patient has hypertonicity, hyperreflexia, and dystonic movements in his upper and lower extremities. Neurological testing reveals significant cognitive decline, including memory loss and difficulty with problem-solving. Genetic testing confirms a diagnosis of GM1 gangliosidosis.",1,1,1,1,2,3
Silver-Russell syndrome,No change,"Sarah is a 6-year-old girl who was born prematurely at 32 weeks of gestation. Her birth weight was 1.4 kg, and her length was 42 cm. She was diagnosed with Silver-Russell syndrome based on the clinical features of intrauterine growth retardation, triangular face, low-set ears, and fifth finger clinodactyly. She also has a small head circumference, narrow shoulders, and asymmetrical limbs, with her left leg being shorter than her right. She has feeding difficulties and requires a nasogastric tube for nutrition. Sarah has delayed developmental milestones, with motor and language delays. She is being closely monitored for growth and development, and she receives occupational and speech therapies.",0,1,1,0,1,2,"A 26-year-old woman presents to the clinic with a history of short stature and developmental delay. She was born weighing only 2.2 kg and had difficulty feeding in the neonatal period. She was diagnosed with Silver-Russell syndrome based on her characteristic features, including a small head circumference, triangular face, fifth finger clinodactyly, and prominent forehead. Her height is currently 143 cm (4'8"") and her weight is 45 kg (99 lbs). She reports a history of learning difficulties and has a mild intellectual disability. She has no significant medical history and no family history of similar symptoms. Further investigations revealed normal levels of growth hormone, insulin-like growth factor-1, and thyroid function. She is being monitored for potential complications of Silver-Russell syndrome, such as insulin resistance and scoliosis.",0,1,1,0,1,2
Rubinstein-Taybi syndrome,Change in presentation related to age,"A 5-year-old boy presents to the clinic with developmental delays and physical abnormalities. On examination, he has a broad forehead, down-slanting eyes, and a beaked nose. He also has short stature, broad thumbs, and a prominent jaw. The child has difficulty with speech and language, and his motor skills are delayed. He has a history of frequent ear infections and is currently being evaluated for hearing loss. Based on these clinical features, the child is diagnosed with Rubinstein-Taybi syndrome, a genetic disorder that affects multiple organ systems.",1,1,1,1,2,3,"Mr. Smith is a 35-year-old male with Rubinstein-Taybi syndrome. He presents to the clinic with his parents for a routine follow-up appointment. He has a characteristic facial appearance with a prominent forehead, down-slanting palpebral fissures, and a beaked nose. He also has a broad and prominent nasal bridge. Mr. Smith has moderate intellectual disability with a limited vocabulary and difficulty with fine motor skills. He has hypertrichosis with thick eyebrows and eyelashes. Mr. Smith has a history of recurrent respiratory infections due to immunodeficiency. On examination, he has short stature and broad thumbs and toes. His cardiac and gastrointestinal examination is unremarkable.",1,0,1,0,1,2
Alpers-Huttenlocher syndrome,Change in presentation related to age,"A 4-year-old boy was brought to the emergency department with a history of seizures, developmental regression, and worsening liver function tests. His parents reported that he had been previously diagnosed with Alpers-Huttenlocher syndrome, a rare and progressive mitochondrial disorder. The child had a history of intractable seizures that had been difficult to control with antiepileptic medications. On examination, the child was lethargic and had poor muscle tone. He had hepatosplenomegaly and evidence of liver dysfunction, with elevated liver enzymes and bilirubin levels. Neurological examination revealed generalized hypotonia, hyperreflexia, and evidence of cognitive decline. The child was admitted to the hospital for further evaluation and management, including supportive care for his liver dysfunction and seizure management. The prognosis for Alpers-Huttenlocher syndrome is poor, with a high mortality rate in childhood.",0,1,1,0,1,3,"John is a 35-year-old male who has been experiencing seizures and progressive neurological decline for the past several years. He initially presented with generalized tonic-clonic seizures and was diagnosed with epilepsy. However, his seizures became more frequent and difficult to control with medications. He also developed cognitive impairment, difficulty walking, and muscle weakness.Further workup revealed elevated levels of lactate in his blood and cerebrospinal fluid. A brain MRI showed diffuse cortical and subcortical atrophy, as well as hyperintense signals in the basal ganglia and thalamus. Genetic testing confirmed a diagnosis of Alpers-Huttenlocher syndrome, a rare autosomal recessive mitochondrial disease. John's prognosis is poor, as there is no cure for Alpers-Huttenlocher syndrome and the disease typically progresses rapidly. Treatment is mainly supportive, with antiepileptic medications to control seizures and physical therapy to maintain mobility. The most important clinical feature of Alpers-Huttenlocher syndrome is the combination of intractable seizures, cognitive decline, and liver dysfunction, along with elevated levels of lactate in the blood and cerebrospinal fluid.",1,0,0,0,1,1
Mucopolysaccharidosis type 2,No change,"A 4-year-old male child is brought to the pediatrician's office due to developmental delays and abnormal facial features. On examination, the child presents with a prominent forehead, a flat nose bridge, and widely spaced teeth. The child's hearing and vision are also impaired. The pediatrician notes that the child's joints are stiff and limited in motion. The parents mention that the child has recurrent ear infections and respiratory infections. The pediatrician suspects Mucopolysaccharidosis type 2 and orders further diagnostic tests, including enzyme assays and genetic testing. The child is referred to a specialist for further management and treatment.",0,0,1,0,0,1,"A 35-year-old male presents to the clinic with a history of recurrent upper respiratory tract infections, joint stiffness, and short stature. On physical examination, he had a prominent forehead, a depressed nasal bridge, and a thick neck. His joints were stiff with limited range of motion, and his hands were claw-like. His liver and spleen were palpable, and he had coarse hair on his body. The patient reported a history of developmental delay and speech difficulties in childhood. He was diagnosed with Mucopolysaccharidosis type 2 based on his clinical presentation and confirmed with genetic testing. Further evaluation revealed a decreased level of iduronate-2-sulfatase enzyme activity, supporting the diagnosis. The patient was referred to a specialist for management of his condition, which included enzyme replacement therapy and supportive care for his joint and respiratory symptoms.",1,1,1,1,2,3
Holt-Oram syndrome,No change,"A 6-year-old girl presents to the pediatrician with complaints of fatigue and shortness of breath during physical activities. On examination, the physician notices that the child has an abnormal chest shape and a heart murmur. The child's mother reports a family history of heart defects. Further evaluation reveals that the child has upper limb anomalies, including bilateral absent thumbs and radial deviation of the wrists. An echocardiogram shows atrial and ventricular septal defects, as well as aortic coarctation. Based on these findings, the child is diagnosed with Holt-Oram syndrome, a rare genetic disorder characterized by congenital heart defects and upper limb abnormalities. The child is referred to a geneticist for further management and counseling.",0,1,1,0,1,3,"A 32-year-old female presents to the clinic with complaints of shortness of breath and fatigue. She has a history of atrial septal defect repair as a child and has been experiencing increased symptoms over the past few months. On physical examination, she has a prominent right shoulder with limited range of motion and absent right thumb. Further investigation reveals a diagnosis of Holt-Oram syndrome, a rare genetic disorder characterized by upper limb abnormalities and congenital heart defects. She is referred to a cardiologist for further management and monitoring.",1,1,1,1,2,3
Rhizomelic chondrodysplasia punctata,Only childhood,"A 1-year-old male infant was brought to the pediatrician by his parents due to delayed developmental milestones. On examination, he presented with short stature, widely spaced eyes, a small head circumference, and a flattened bridge of the nose. He also had joint contractures, limited range of motion in the limbs, and muscle weakness. Radiographic imaging revealed characteristic skeletal abnormalities, including rhizomelic shortening of the limbs and punctate calcifications in the epiphyses. The infant was diagnosed with Rhizomelic chondrodysplasia punctata, a rare genetic disorder that affects bone and cartilage development. Genetic testing confirmed a mutation in the PEX7 gene, which is responsible for the metabolism of essential fatty acids. The infant was referred to a multidisciplinary team for further management and supportive care.",1,1,1,1,2,3,"A 35-year-old male presents with a history of short stature and joint stiffness since childhood. On examination, he has a characteristic facial appearance with a flat nasal bridge and a small jaw. He also has limited range of motion in his arms and legs, with shortened upper arms and thighs. His hands and feet are small and have shortened fingers and toes. X-rays reveal punctate calcifications in the epiphyses and metaphyses of long bones and vertebral bodies. These findings are consistent with a diagnosis of Rhizomelic chondrodysplasia punctata. The patient is referred for genetic counseling and management of his symptoms, which include joint contractures and limited mobility.",0,1,1,0,1,2
Sandhoff disease,Change in presentation related to age,"A 6-month-old male infant presents to the pediatrician with delayed developmental milestones and progressive muscle weakness. The mother reports that the child has not been able to sit up or roll over, and his head control is poor. The pediatrician observes that the child has a cherry-red spot in the retina and an enlarged liver and spleen. Further testing reveals decreased levels of beta-hexosaminidase A and B, confirming a diagnosis of Sandhoff disease. The child is referred to a neurologist for further management and support.",1,0,1,0,1,2,"A 30-year-old male presents with progressive weakness, difficulty speaking and swallowing, and frequent falls. He reports a history of delayed developmental milestones and has a family history of a similar illness. On examination, he has spasticity, muscle wasting, and exaggerated reflexes. His sensory exam is intact, and he has no cranial nerve abnormalities. Lab work reveals elevated cerebrospinal fluid protein levels and a deficiency of hexosaminidase A enzyme activity. MRI shows bilateral symmetric hyperintensities in the thalamus and basal ganglia. A genetic test confirms the diagnosis of Sandhoff disease, a rare inherited disorder characterized by progressive neurodegeneration due to the accumulation of gangliosides in the brain and nervous system.",1,0,1,0,1,2
Maple syrup urine disease,Change: presentation/management,"A 6-day-old male infant was brought to the hospital with poor feeding, lethargy, and a sweet odor to his urine. The parents reported that the baby had been irritable and had not been feeding well since birth. On examination, the infant was hypotonic and had a high-pitched cry. His urine had a distinct maple syrup odor. Laboratory tests revealed elevated levels of branched-chain amino acids (valine, leucine, and isoleucine). These findings were consistent with a diagnosis of Maple syrup urine disease. The baby was started on a low-protein diet and received intravenous fluids to correct his metabolic imbalance. Early diagnosis and management of Maple syrup urine disease are crucial to prevent severe neurological complications, including seizures and coma.",1,1,1,1,2,3,"A 32-year-old male presents to the emergency department with confusion and lethargy. His family reports that he has been acting strangely for the past few days and has been experiencing vomiting and difficulty eating. On examination, he has a sweet odor to his urine and his blood work reveals elevated levels of branched-chain amino acids. Further testing confirms a diagnosis of Maple syrup urine disease. Treatment is initiated with a low-protein diet and intravenous fluids containing glucose and insulin. The patient is referred to a metabolic specialist for long-term management of his condition.",1,0,1,0,1,2
Infantile myofibromatosis,Only childhood,"A 6-month-old male infant is brought to the pediatrician's office by his parents due to multiple firm masses on his scalp, back, and left arm. The parents report that the masses have been present since birth and have slowly increased in size. On physical examination, the masses are firm, non-tender, and vary in size from 0.5 to 2 cm. The infant is otherwise healthy, with normal growth and development. The pediatrician orders imaging studies, which reveal multiple nodules in the skin, subcutaneous tissue, and bone. A biopsy is performed, which confirms the diagnosis of Infantile myofibromatosis. The infant is referred to a pediatric oncologist for further evaluation and management.",1,1,1,1,2,3,"Infantile myofibromatosis is a rare condition that typically affects infants and young children. However, in rare cases, it can also affect adults. Here is a brief medical vignette of an adult with infantile myofibromatosis: Mr. X is a 32-year-old man who presented with a painless mass on the left side of his neck that had been slowly increasing in size over the past year. He reported no other significant symptoms and had no significant medical history. On examination, a firm, non-tender mass was palpable in the left submandibular area. Imaging studies revealed a well-circumscribed mass measuring 3 cm in diameter. A biopsy of the mass showed spindle-shaped cells with myoid differentiation, consistent with infantile myofibromatosis. The most important clinical features of infantile myofibromatosis in this case include the presence of a painless, slowly growing mass in the left submandibular area, the absence of other significant symptoms, and the histological findings of spindle-shaped cells with myoid differentiation on biopsy. It is important to note that infantile myofibromatosis in adults is extremely rare, and the diagnosis should be made based on a combination of clinical and pathological findings.",0,1,1,0,1,2
Diamond-Blackfan anemia,No change,"A 5-year-old boy presents to his pediatrician with fatigue, pale skin, and shortness of breath on exertion. Upon further evaluation, the child is found to have severe anemia with a hemoglobin level of 6 g/dL. He has a history of frequent infections and has been on multiple courses of antibiotics in the past year. The child is also noted to have physical abnormalities, including a small head circumference, widely spaced eyes, and a small jaw. Further testing reveals that the child has Diamond-Blackfan anemia, a rare genetic disorder characterized by a failure of the bone marrow to produce red blood cells. The child is started on regular blood transfusions and referred to a hematologist for further management.",1,0,1,0,1,2,"A 32-year-old female presents to the clinic with fatigue and shortness of breath on exertion. She reports a past medical history significant for Diamond-Blackfan anemia (DBA) diagnosed during infancy. She has been on chronic transfusions since then and has received iron chelation therapy intermittently. The patient reports that she has been experiencing worsening of her symptoms for the past few weeks, despite regular transfusions. On examination, the patient appears pale and fatigued. Her heart rate is 110 beats per minute, blood pressure is 110/70 mmHg, and oxygen saturation is 93% on room air. Laboratory investigations reveal a hemoglobin level of 6.5 g/dL, reticulocyte count of 0.5%, and ferritin level of 3000 ng/mL. A bone marrow biopsy is performed, which confirms the diagnosis of DBA with absent erythroid precursors. The patient is started on high-dose corticosteroids and referred for possible stem cell transplantation.",1,0,1,0,1,2
Fanconi anemia,Change: presentation/management,"A 7-year-old child presents with a history of recurrent infections, easy bruising, and fatigue. Upon physical examination, the child has multiple café-au-lait spots and short stature. Laboratory workup reveals pancytopenia and a bone marrow biopsy confirms hypocellular bone marrow. Genetic testing confirms the diagnosis of Fanconi anemia. The child is referred for hematopoietic stem cell transplantation.",1,1,1,1,2,3,"John is a 30-year-old male who presents to the clinic with symptoms of fatigue and frequent infections. On further examination, he is found to have short stature, café-au-lait spots, and abnormal skin pigmentation. His blood work shows pancytopenia with low red blood cells, white blood cells, and platelets. Genetic testing confirms the diagnosis of Fanconi anemia. John's medical history reveals that he had frequent infections as a child and was previously diagnosed with leukemia at the age of 10. He has a family history of early onset cancers, including his brother who passed away from leukemia at the age of 5. John is referred to a specialist for further management and treatment.",1,1,1,1,2,3
